;precision;recall;f1-score;support
0;0.6846846846846847;0.6129032258064516;0.6468085106382979;124.0
1;0.4878048780487805;0.4166666666666667;0.449438202247191;96.0
2;0.6542553191489362;0.7639751552795031;0.7048710601719198;161.0
accuracy;0.6272965879265092;0.6272965879265092;0.6272965879265092;0.6272965879265092
macro avg;0.6089149606274672;0.5978483492508738;0.6003725910191363;381.0
weighted avg;0.6222185710670933;0.6272965879265092;0.6216130273557963;381.0
