;precision;recall;f1-score;support
Died of Disease;0.7358490566037735;0.6290322580645161;0.6782608695652174;124.0
Died of Other Causes;0.4936708860759494;0.40625;0.44571428571428573;96.0
Living;0.6530612244897959;0.7950310559006211;0.7170868347338936;161.0
accuracy;0.6430446194225722;0.6430446194225722;0.6430446194225722;0.6430446194225722
macro avg;0.6275270557231729;0.610104437988379;0.6136873300044656;381.0
weighted avg;0.6398439507218273;0.6430446194225722;0.6360732274194626;381.0
