;precision;recall;f1-score;support
0;0.6608695652173913;0.6129032258064516;0.6359832635983264;124.0
1;0.5714285714285714;0.5416666666666666;0.5561497326203209;96.0
2;0.7257142857142858;0.7888198757763976;0.7559523809523809;161.0
accuracy;0.6692913385826772;0.6692913385826772;0.6692913385826772;0.6692913385826772
macro avg;0.6526708074534161;0.6477965894165053;0.6493617923903426;381.0
weighted avg;0.6657348266249327;0.6692913385826772;0.666563339504138;381.0
