iter	Passed	Remaining
403	10253	15126
404	10277	15098
405	10301	15071
406	10332	15054
407	10359	15032
408	10387	15009
409	10411	14982
410	10437	14957
411	10462	14931
412	10486	14904
413	10509	14875
414	10538	14855
415	10560	14825
416	10586	14800
417	10609	14771
418	10631	14741
419	10654	14713
420	10677	14685
421	10701	14657
422	10724	14629
423	10748	14601
424	10771	14572
425	10805	14559
426	10828	14531
427	10852	14503
428	10876	14476
429	10900	14449
430	10924	14422
431	10947	14394
432	10969	14364
433	10993	14336
434	11016	14308
435	11038	14279
436	11065	14255
437	11089	14228
438	11112	14200
439	11135	14172
440	11158	14144
441	11182	14116
442	11205	14088
443	11243	14079
444	11266	14052
445	11290	14024
446	11313	13996
447	11337	13969
448	11361	13942
449	11384	13914
450	11408	13887
451	11435	13864
452	11463	13841
453	11487	13815
454	11596	13890
455	11685	13940
456	11766	13980
457	11859	14034
458	11916	14045
459	12084	14186
460	12189	14251
461	12249	14265
462	12344	14317
463	12404	14328
464	12545	14433
465	12612	14453
466	12669	14459
467	12762	14507
468	12859	14559
469	13040	14704
470	13089	14701
471	13132	14690
472	13169	14672
473	13267	14722
474	13622	15056
475	13705	15087
476	13769	15097
477	13837	15111
478	13913	15133
479	14112	15288
480	14191	15312
481	14235	15299
482	14285	15291
483	14451	15406
484	14609	15512
485	14662	15507
486	14708	15493
487	14753	15478
488	14798	15464
489	14839	15445
490	14883	15429
491	14924	15409
492	15001	15427
493	15262	15633
494	15804	16123
495	15895	16152
496	17857	18072
497	17943	18088
498	18244	18317
499	18633	18633
500	19168	19092
501	19454	19299
502	19504	19271
503	19578	19267
504	19661	19271
505	19793	19324
506	19874	19326
507	19968	19339
508	20110	19399
509	20175	19384
510	20233	19362
511	20293	19342
512	20434	19398
513	20475	19360
514	20528	19332
515	20565	19290
516	20605	19250
517	20647	19212
518	20694	19179
519	20736	19141
520	20791	19115
521	20830	19074
522	20873	19037
523	20911	18996
524	20974	18976
525	21013	18935
526	21050	18893
527	21095	18858
528	21135	18817
529	21185	18787
530	21225	18746
531	21266	18708
532	21310	18671
533	21348	18629
534	21384	18586
535	21426	18547
536	21468	18509
537	21522	18482
538	21573	18451
539	21623	18420
540	21670	18385
541	21708	18343
542	21745	18301
543	21784	18260
544	21823	18219
545	21874	18188
546	21913	18147
547	21950	18105
548	21989	18064
549	22028	18023
550	22065	17981
551	22106	17941
552	22143	17898
553	22183	17858
554	22218	17814
