iter	TotalF1	MultiClass	Accuracy
54	0.5072029376	0.9788306802	0.5968448729
55	0.5069969677	0.9761453952	0.5968448729
56	0.5077845312	0.9754680701	0.5977212971
57	0.5076486852	0.9742712943	0.5977212971
58	0.5076486852	0.97421542	0.5977212971
59	0.5060669358	0.9736152112	0.5959684487
60	0.5062182021	0.970341385	0.5959684487
61	0.5046426758	0.9685635594	0.5942156004
62	0.5061435727	0.967388246	0.5959684487
63	0.5087361293	0.9637633136	0.5985977213
64	0.5078815284	0.9636807471	0.5977212971
65	0.5119656165	0.960609927	0.6021034181
66	0.5138524919	0.9556380297	0.6038562664
67	0.5138524919	0.9556082239	0.6038562664
68	0.5167093524	0.9550669374	0.6056091148
69	0.5147847972	0.9548714646	0.6047326906
70	0.5141927056	0.9541951559	0.6029798422
71	0.5142469199	0.9541538557	0.6029798422
72	0.5166487443	0.9536853732	0.6056091148
73	0.5175431526	0.9526849794	0.606485539
74	0.5195672257	0.9515485681	0.6073619632
75	0.5245084813	0.9486677702	0.6126205083
76	0.5245084813	0.9486411107	0.6126205083
77	0.5178008155	0.9452436494	0.606485539
78	0.5178008155	0.9452266011	0.606485539
79	0.5155725076	0.9425756382	0.6038562664
80	0.5163925051	0.9401521747	0.6047326906
81	0.5163925051	0.9401234609	0.6047326906
82	0.516281113	0.9390679528	0.6047326906
83	0.5156617108	0.9371018995	0.6038562664
84	0.5186822355	0.935368453	0.6056091148
85	0.5167273742	0.9326955633	0.6038562664
86	0.5205145858	0.931530071	0.606485539
87	0.5192388991	0.9288436562	0.606485539
88	0.5202003346	0.9266048752	0.6073619632
89	0.5221962437	0.9263313599	0.6082383874
90	0.5239604765	0.924996693	0.6099912358
91	0.5241096979	0.9246356085	0.6099912358
92	0.5241116801	0.9239302868	0.6099912358
93	0.5241116801	0.9235169102	0.6099912358
94	0.5242625432	0.9225542924	0.6099912358
95	0.5272948156	0.921619338	0.6108676599
96	0.5272434726	0.9202346331	0.6108676599
97	0.527193307	0.9198704578	0.6108676599
98	0.5291070859	0.9180723505	0.6117440841
99	0.5434212796	0.9157924266	0.6178790535
100	0.5415963348	0.9157869656	0.6170026293
101	0.5487537407	0.9155183555	0.6213847502
102	0.5431581188	0.9151270607	0.6187554777
103	0.5467527783	0.9147649108	0.620508326
104	0.5467527783	0.9147603213	0.620508326
105	0.5458242499	0.9134907957	0.620508326
106	0.5485153923	0.9129273101	0.6222611744
107	0.5485153923	0.9129233272	0.6222611744
108	0.5435979784	0.9107901743	0.6187554777
109	0.5434200239	0.910760243	0.6187554777
110	0.5433232547	0.9105222828	0.6187554777
111	0.5433232547	0.9105080084	0.6187554777
112	0.5441497431	0.9102048535	0.6196319018
113	0.5441497431	0.9102019428	0.6196319018
114	0.5441497431	0.9098532265	0.6196319018
115	0.5460201311	0.9095109784	0.620508326
116	0.5460201311	0.9094820557	0.620508326
117	0.5484021009	0.9091130438	0.6231375986
118	0.5449611403	0.9073564802	0.6213847502
119	0.550224176	0.905528679	0.624890447
120	0.5468866734	0.9051010849	0.6222611744
121	0.5460286518	0.9049127165	0.6213847502
122	0.5512695885	0.9040017752	0.624890447
123	0.5498033776	0.9021560328	0.6231375986
124	0.5513156331	0.9018497874	0.624890447
125	0.5513991008	0.900123542	0.624890447
126	0.5503556958	0.8993944828	0.624890447
127	0.5529563075	0.8989443262	0.6266432954
128	0.5559220328	0.8981020551	0.6275197195
129	0.5559220328	0.8981007846	0.6275197195
130	0.561568941	0.8972341035	0.6301489921
131	0.5589565415	0.8967270562	0.6283961437
132	0.5590211238	0.8962183103	0.6283961437
133	0.5570225061	0.8955526863	0.6275197195
134	0.5589565415	0.8951854738	0.6283961437
135	0.561407638	0.8934624891	0.6292725679
136	0.5691537388	0.8918208612	0.6336546889
137	0.5752453384	0.8910950036	0.6362839614
138	0.5745494286	0.8901816054	0.6354075372
139	0.5753184053	0.8886557843	0.6354075372
140	0.5719851211	0.8881543236	0.6336546889
141	0.5694764424	0.8869449833	0.6319018405
142	0.5677880437	0.8869118995	0.6310254163
143	0.5781184145	0.8851066992	0.6362839614
144	0.5789506848	0.8840372466	0.6362839614
145	0.5797800411	0.8824427636	0.6371603856
146	0.5797800411	0.8822272333	0.6371603856
147	0.5797800411	0.8822267687	0.6371603856
148	0.5797800411	0.8821022527	0.6371603856
149	0.5797800411	0.8819159166	0.6371603856
150	0.5797800411	0.8815978301	0.6371603856
151	0.5814037663	0.880576172	0.6380368098
152	0.5789208921	0.8801507594	0.6362839614
153	0.5772894231	0.8800664505	0.6354075372
154	0.5831525633	0.8787841043	0.6380368098
155	0.5815507128	0.8787838148	0.6371603856
156	0.5791736105	0.8772773387	0.6345311131
157	0.5791736105	0.8772770972	0.6345311131
158	0.5783331175	0.8760556052	0.6345311131
159	0.5783331175	0.8759940117	0.6345311131
160	0.5843381487	0.8743856627	0.6362839614
161	0.5898421667	0.8731822326	0.638913234
162	0.5900566966	0.8729511504	0.638913234
163	0.5894056839	0.871703721	0.6380368098
164	0.5909431153	0.8714497322	0.638913234
165	0.5909431153	0.8714495328	0.638913234
166	0.5939490519	0.8711161407	0.6406660824
167	0.5939490519	0.8710939969	0.6406660824
168	0.5954918954	0.8708636918	0.6415425066
169	0.6031202848	0.8683442254	0.6450482033
170	0.6031202848	0.8681456268	0.6450482033
171	0.6031202848	0.86802479	0.6450482033
172	0.6031202848	0.8680246783	0.6450482033
173	0.604072915	0.8674626441	0.6459246275
174	0.6017770495	0.8670689754	0.6441717791
175	0.6032241834	0.8670037724	0.6450482033
176	0.6078466073	0.8665827161	0.6485539001
177	0.6078466073	0.8663429492	0.6485539001
178	0.6078722775	0.865287636	0.6485539001
179	0.6115293194	0.8644788139	0.6511831727
180	0.6130394595	0.8640822211	0.6520595968
181	0.6153910862	0.8635618217	0.6538124452
182	0.6131647631	0.8635145206	0.6520595968
183	0.6224128948	0.8622255064	0.6581945662
184	0.6224128948	0.86204507	0.6581945662
185	0.626001017	0.8616672866	0.6608238387
186	0.6281692488	0.8604446888	0.6617002629
187	0.6280881967	0.8604439532	0.6617002629
188	0.6251689088	0.8592627987	0.6590709904
189	0.6291589523	0.8578840892	0.6617002629
190	0.6291589523	0.8578673029	0.6617002629
191	0.6293077649	0.8575322213	0.6617002629
192	0.6294043598	0.8564452958	0.6617002629
193	0.6294043598	0.8563289949	0.6617002629
194	0.6265997806	0.8546210306	0.6599474145
195	0.6280208173	0.8543261508	0.6608238387
196	0.6285791294	0.8540728442	0.6608238387
197	0.6285267592	0.8538955574	0.6608238387
198	0.6325607223	0.8536656967	0.6634531113
199	0.6325607223	0.8536655939	0.6634531113
200	0.6325607223	0.853524305	0.6634531113
201	0.6332505277	0.8530813454	0.6643295355
202	0.6332505277	0.8530812586	0.6643295355
203	0.6332505277	0.8530401056	0.6643295355
204	0.634684594	0.8523136684	0.6652059597
205	0.6333683387	0.8522027252	0.6643295355
206	0.6364659996	0.8508098216	0.6652059597
207	0.6388882931	0.8495014532	0.6660823839
208	0.6388882931	0.8494177804	0.6660823839
209	0.6401586646	0.8494025535	0.6669588081
210	0.6401586646	0.8493571062	0.6669588081
211	0.6418698231	0.8472841662	0.6687116564
212	0.643580731	0.8462729183	0.6695880806
213	0.643580731	0.8462700023	0.6695880806
214	0.6448381494	0.8459139439	0.6704645048
215	0.6448381494	0.8459109675	0.6704645048
216	0.6486147981	0.8455661631	0.6730937774
217	0.6465013985	0.8453788685	0.671340929
218	0.6477453097	0.8452962597	0.6722173532
219	0.6465013985	0.8452925697	0.671340929
220	0.6465013985	0.8452925509	0.671340929
221	0.6465013985	0.8452925332	0.671340929
222	0.6474298197	0.8443271885	0.6722173532
223	0.6487306719	0.8437999691	0.6730937774
224	0.6473752084	0.8425205369	0.6722173532
225	0.6473752084	0.8424565189	0.6722173532
226	0.6493601071	0.8413814391	0.6730937774
227	0.6493601071	0.8413814308	0.6730937774
228	0.649760391	0.8410456268	0.6730937774
229	0.6483355848	0.8405268023	0.671340929
230	0.6504393919	0.8404347133	0.6730937774
231	0.6504393919	0.8404323533	0.6730937774
232	0.6478329158	0.8394549056	0.6704645048
233	0.6477905192	0.8391381302	0.6704645048
234	0.6477905192	0.8388559859	0.6704645048
235	0.6475559824	0.8378097046	0.6695880806
236	0.6504780102	0.8373046867	0.6722173532
237	0.6515863089	0.8359960027	0.6730937774
238	0.6515863089	0.8359959877	0.6730937774
239	0.6531617006	0.8351849581	0.6739702016
240	0.6539862432	0.8350724349	0.6748466258
241	0.6520038558	0.8346953129	0.6730937774
242	0.6500307564	0.8338847816	0.671340929
243	0.6535896048	0.8330611663	0.6739702016
244	0.6556518088	0.8319991962	0.67572305
245	0.6558531729	0.8311204728	0.6748466258
246	0.6558531729	0.8310370762	0.6748466258
247	0.6571984864	0.8307731322	0.6765994741
248	0.6571984864	0.830725024	0.6765994741
249	0.6533806826	0.8301932555	0.6730937774
250	0.65497712	0.829986879	0.6739702016
251	0.6545185947	0.8299528175	0.6739702016
252	0.6554292522	0.8295472518	0.6739702016
253	0.6561618601	0.8288404055	0.6748466258
254	0.6581170655	0.8276599731	0.6765994741
255	0.6604828098	0.8269393795	0.6783523225
256	0.6608519009	0.8258058592	0.6792287467
257	0.6617307265	0.8246957301	0.6792287467
258	0.6613281115	0.8233292001	0.6792287467
259	0.6633630928	0.8221738984	0.6801051709
260	0.6651187902	0.8211385691	0.6818580193
261	0.6658185006	0.820770022	0.6827344435
262	0.6658533907	0.8206523652	0.6827344435
263	0.6663061528	0.8199643902	0.6836108677
264	0.6648393314	0.8192345316	0.6818580193
265	0.6683402749	0.8183145257	0.6844872918
266	0.6668223022	0.8178313746	0.6827344435
267	0.6667263906	0.8175898252	0.6827344435
268	0.6694655967	0.8162972075	0.6844872918
269	0.6696004969	0.8147400989	0.6844872918
270	0.6689585235	0.8137248959	0.6836108677
271	0.6726883869	0.8122563597	0.6871165644
272	0.6724007855	0.8114936887	0.6871165644
273	0.6716151067	0.8104575296	0.6862401402
274	0.6707389321	0.8098075011	0.685363716
275	0.6727864384	0.8093346125	0.6871165644
276	0.6719093432	0.8090356008	0.6862401402
277	0.6727864384	0.8085130143	0.6871165644
278	0.6711660279	0.8075988444	0.685363716
279	0.6726355362	0.8069502036	0.6862401402
280	0.6726355362	0.8068943897	0.6862401402
281	0.6691198868	0.8060190928	0.6827344435
282	0.6717167952	0.8056757274	0.685363716
283	0.669922261	0.8045458234	0.6836108677
284	0.6716332552	0.8036954554	0.685363716
285	0.6700900453	0.8029924479	0.6836108677
286	0.6696293171	0.8021612242	0.6827344435
287	0.6729169093	0.8014938458	0.685363716
288	0.6735656446	0.8004634369	0.6862401402
289	0.6722168472	0.7995507038	0.685363716
290	0.6737391413	0.7988866129	0.6862401402
291	0.6722601275	0.7986230445	0.685363716
292	0.6748873496	0.7980084174	0.6871165644
293	0.6748873496	0.7973880469	0.6871165644
294	0.6781576827	0.7961958078	0.689745837
295	0.6785045114	0.7954738083	0.689745837
296	0.677410742	0.7941832901	0.6888694128
297	0.677410742	0.7932531536	0.6888694128
298	0.6785032368	0.7920952185	0.689745837
299	0.6792497547	0.7917697372	0.6906222612
300	0.6777568549	0.7908110169	0.6888694128
301	0.6769261942	0.7902208774	0.6879929886
302	0.6795937759	0.7889039434	0.6906222612
303	0.6785049321	0.7879152491	0.689745837
304	0.6785049321	0.7871469876	0.689745837
305	0.6788454531	0.7863979049	0.689745837
306	0.6785876597	0.7854130365	0.689745837
307	0.6786381695	0.7842984297	0.689745837
308	0.6793354473	0.7835562117	0.6906222612
309	0.6796785068	0.782833672	0.6906222612
310	0.6796785068	0.7821443502	0.6906222612
311	0.6797271557	0.7819873559	0.6906222612
312	0.6797279391	0.7808159421	0.6906222612
313	0.6796785068	0.7799844293	0.6906222612
314	0.6797279391	0.7794082413	0.6906222612
315	0.6802951459	0.7789546405	0.6914986854
316	0.6803171516	0.7780182745	0.6914986854
317	0.6803973422	0.7775386907	0.6914986854
318	0.6814877001	0.7768435233	0.6923751096
319	0.6803171516	0.776533575	0.6914986854
320	0.6830348587	0.7755244514	0.6941279579
321	0.6838629053	0.7751142644	0.6950043821
322	0.6830348587	0.7745745208	0.6941279579
323	0.6834967228	0.7738623917	0.6941279579
324	0.6824637357	0.7735183433	0.6932515337
325	0.6824132834	0.7725594402	0.6932515337
326	0.6824979705	0.7720561485	0.6932515337
327	0.6828341766	0.771330058	0.6932515337
328	0.6835838947	0.7707189383	0.6941279579
329	0.6837669552	0.7699183082	0.6941279579
330	0.6844626749	0.7687524929	0.6950043821
331	0.6865800829	0.7683328886	0.6967572305
332	0.6873334182	0.7678509909	0.6976336547
333	0.6849959345	0.7671084163	0.6950043821
334	0.6849959345	0.7662936304	0.6950043821
335	0.6857480678	0.7656688313	0.6958808063
336	0.6864314919	0.7645823588	0.6967572305
337	0.6875616833	0.763749136	0.6976336547
338	0.6875616833	0.7631447664	0.6976336547
339	0.686679081	0.7626188333	0.6967572305
340	0.68775695	0.7621995274	0.6976336547
341	0.6897641773	0.761861658	0.6993865031
342	0.6897641773	0.7613167582	0.6993865031
343	0.6908366914	0.7601688908	0.7002629273
344	0.6908366914	0.7594842604	0.7002629273
345	0.6908366914	0.7593967228	0.7002629273
346	0.6908366914	0.7589484443	0.7002629273
347	0.6908366914	0.7582325112	0.7002629273
348	0.6915906964	0.7577100522	0.7011393514
349	0.6915906964	0.7573283246	0.7011393514
350	0.6919013635	0.7567875772	0.7011393514
351	0.6915389192	0.7562370009	0.7011393514
352	0.6937245527	0.7555084793	0.7028921998
353	0.6937245527	0.7554818202	0.7028921998
354	0.693949281	0.7548237372	0.7028921998
355	0.694784997	0.7542658011	0.703768624
356	0.6937245527	0.753628298	0.7028921998
357	0.692968413	0.7529700331	0.7020157756
358	0.6937245527	0.7522702971	0.7028921998
359	0.6937245527	0.7518958134	0.7028921998
360	0.693949281	0.7514001501	0.7028921998
361	0.694784997	0.7511189881	0.703768624
362	0.69424926	0.7506590647	0.7028921998
363	0.6953069997	0.7500425856	0.703768624
364	0.69424926	0.7497286618	0.7028921998
365	0.6934923745	0.7490179974	0.7020157756
366	0.6934923745	0.7486614793	0.7020157756
367	0.6934923745	0.7485480336	0.7020157756
368	0.6924373071	0.7476159765	0.7011393514
369	0.6924373071	0.74758784	0.7011393514
370	0.6932673453	0.7471927798	0.7020157756
371	0.6943272705	0.7468349547	0.7028921998
372	0.69424926	0.7465803767	0.7028921998
373	0.6944148645	0.7461599232	0.7028921998
374	0.6936272009	0.7454926381	0.7020157756
375	0.6946801249	0.7452331063	0.7028921998
376	0.6937881052	0.7447278526	0.7020157756
377	0.693840452	0.7443028237	0.7020157756
378	0.6918954854	0.7438665549	0.7002629273
379	0.6929468678	0.7431929876	0.7011393514
380	0.6939915574	0.7427433346	0.7020157756
381	0.6947481968	0.7418580087	0.7028921998
382	0.6939915574	0.7416803436	0.7020157756
383	0.6947481968	0.7414036984	0.7028921998
384	0.6947481968	0.7409800565	0.7028921998
385	0.6946982668	0.7405039015	0.7028921998
386	0.6947481968	0.7398770388	0.7028921998
387	0.6947481968	0.7392402904	0.7028921998
388	0.6947481968	0.7387642597	0.7028921998
389	0.695642307	0.7385252091	0.703768624
390	0.695642307	0.7384907689	0.703768624
391	0.6975331284	0.7380789244	0.7055214724
392	0.6967741873	0.7376497207	0.7046450482
393	0.6976859092	0.737153495	0.7055214724
394	0.6968405152	0.7367121106	0.7046450482
395	0.6968405152	0.7366680943	0.7046450482
396	0.6976859092	0.7361175651	0.7055214724
397	0.6976859092	0.7358292818	0.7055214724
398	0.6969260618	0.7354900802	0.7046450482
399	0.6969260618	0.734999678	0.7046450482
400	0.6961663228	0.7345844147	0.703768624
401	0.6961663228	0.7341433429	0.703768624
402	0.6961663228	0.7340408079	0.703768624
403	0.6961663228	0.7339454148	0.703768624
404	0.6961663228	0.7336937027	0.703768624
405	0.6972135867	0.7332695984	0.7046450482
406	0.6972135867	0.7330701731	0.7046450482
407	0.6972078744	0.7329072067	0.7046450482
408	0.6972135867	0.7323831836	0.7046450482
409	0.6972135867	0.7319087706	0.7046450482
410	0.6982472088	0.7314518576	0.7055214724
411	0.6982472088	0.7313571633	0.7055214724
412	0.7000862135	0.7308787545	0.7072743208
413	0.6990536968	0.7305955727	0.7063978966
414	0.6990536968	0.730350979	0.7063978966
415	0.6992395501	0.7302297387	0.7063978966
416	0.7011207179	0.7297533939	0.708150745
417	0.7011207179	0.7291330576	0.708150745
418	0.7013401425	0.7284127116	0.708150745
419	0.7021485142	0.7281312832	0.7090271691
420	0.7013401425	0.7277134299	0.708150745
421	0.702365173	0.7270346699	0.7090271691
422	0.702365173	0.7270014083	0.7090271691
423	0.7021485142	0.7264303684	0.7090271691
424	0.7011207179	0.7263420195	0.708150745
425	0.6994660339	0.7259132953	0.7063978966
426	0.7023244519	0.7253426604	0.7090271691
427	0.7023244519	0.7250613406	0.7090271691
428	0.7033472637	0.7246653787	0.7099035933
429	0.7012963453	0.7239581355	0.708150745
430	0.7023244519	0.7235183492	0.7090271691
431	0.7023244519	0.7233873437	0.7090271691
432	0.7023244519	0.7232551781	0.7090271691
433	0.7033472637	0.7231230518	0.7099035933
434	0.7033472637	0.7230808281	0.7099035933
435	0.7033472637	0.7227926969	0.7099035933
436	0.7033472637	0.7227754903	0.7099035933
437	0.7053887691	0.722255767	0.7116564417
438	0.7053887691	0.7221382491	0.7116564417
439	0.7053887691	0.7212678012	0.7116564417
440	0.7062419399	0.7205343027	0.7125328659
441	0.7062419399	0.7205234296	0.7125328659
442	0.7062885507	0.7197085164	0.7125328659
443	0.7071873669	0.719356739	0.7134092901
444	0.7071873669	0.7192366087	0.7134092901
445	0.7071873669	0.7190104105	0.7134092901
446	0.7063284741	0.7183587437	0.7125328659
447	0.7081580916	0.7181796187	0.7142857143
448	0.7089262738	0.7180531542	0.7151621385
449	0.708971793	0.717824338	0.7151621385
450	0.7082045072	0.7172365405	0.7142857143
451	0.7090103252	0.7166222604	0.7151621385
452	0.7081580916	0.7163546059	0.7142857143
453	0.7090103252	0.7160393582	0.7151621385
454	0.7097795753	0.7156161187	0.7160385627
455	0.7097795753	0.7155976992	0.7160385627
456	0.7097795753	0.7150625194	0.7160385627
457	0.7099432301	0.7147586953	0.7160385627
458	0.7099432301	0.7145535795	0.7160385627
459	0.7099879403	0.7142497546	0.7160385627
460	0.7099879403	0.7138715139	0.7160385627
461	0.7099432301	0.7133589906	0.7160385627
462	0.7099432301	0.713236578	0.7160385627
463	0.7099432301	0.7129296976	0.7160385627
464	0.7107976925	0.7126071541	0.7169149869
465	0.7099432301	0.712411459	0.7160385627
466	0.7099848819	0.7121318333	0.7160385627
467	0.7091307705	0.7117947718	0.7151621385
468	0.7091753156	0.7114991904	0.7151621385
469	0.7099879403	0.7112297684	0.7160385627
470	0.7091753156	0.7111446621	0.7151621385
471	0.7091753156	0.7110173014	0.7151621385
472	0.7091753156	0.7110001226	0.7151621385
473	0.7091753156	0.7108919437	0.7151621385
474	0.7091753156	0.7108774348	0.7151621385
475	0.7091753156	0.710801097	0.7151621385
476	0.7100283581	0.7104492114	0.7160385627
477	0.7100283581	0.7104115346	0.7160385627
478	0.7100283581	0.710095412	0.7160385627
479	0.7100283581	0.7099026333	0.7160385627
480	0.7100283581	0.7096577652	0.7160385627
481	0.7100283581	0.7092666355	0.7160385627
482	0.7100283581	0.7089162061	0.7160385627
483	0.7100283581	0.708665383	0.7160385627
484	0.7100283581	0.7085857928	0.7160385627
485	0.7110443344	0.7081484988	0.7169149869
486	0.7110443344	0.7080567573	0.7169149869
487	0.7120582713	0.7078213066	0.717791411
488	0.7100283581	0.7074458563	0.7160385627
489	0.7121030973	0.7071892465	0.717791411
490	0.7120582713	0.706561309	0.717791411
491	0.7120582713	0.7060954873	0.717791411
492	0.7128715766	0.7059534273	0.7186678352
493	0.7118568427	0.705690586	0.717791411
494	0.7118568427	0.7056360272	0.717791411
495	0.711042986	0.7054470466	0.7169149869
496	0.711042986	0.7048166005	0.7169149869
497	0.711042986	0.7047842122	0.7169149869
498	0.711042986	0.7044207832	0.7169149869
499	0.7110443344	0.7041086105	0.7169149869
500	0.7110443344	0.7039667339	0.7169149869
501	0.7110443344	0.7038252943	0.7169149869
502	0.7110443344	0.7035567309	0.7169149869
503	0.7110443344	0.7034992685	0.7169149869
504	0.7110443344	0.7032478028	0.7169149869
505	0.7102311157	0.7030669023	0.7160385627
506	0.7102759418	0.7027063246	0.7160385627
507	0.7110893263	0.702699741	0.7169149869
508	0.7110893263	0.7023425077	0.7169149869
509	0.7121004977	0.7020634057	0.717791411
510	0.7120994056	0.7019477515	0.717791411
511	0.7121004977	0.7019013822	0.717791411
512	0.7120994056	0.7017852094	0.717791411
513	0.7120562982	0.7014908681	0.717791411
514	0.7112862359	0.7011940998	0.7169149869
515	0.7112862359	0.7011108668	0.7169149869
516	0.7112862359	0.7010522514	0.7169149869
517	0.7131116281	0.7007410858	0.7186678352
518	0.7131116281	0.700413912	0.7186678352
519	0.7121004977	0.7002953574	0.717791411
520	0.7121004977	0.700030432	0.717791411
521	0.7140104894	0.6994796174	0.7195442594
522	0.7139658195	0.6990557269	0.7195442594
523	0.7130675865	0.6986555881	0.7186678352
524	0.7130675865	0.698270612	0.7186678352
525	0.7130675865	0.6982345595	0.7186678352
526	0.7120582713	0.6979984779	0.717791411
527	0.7120582713	0.6979315127	0.717791411
528	0.7120582713	0.6977746275	0.717791411
529	0.7120582713	0.6976553239	0.717791411
530	0.7129124013	0.697586223	0.7186678352
531	0.7129124013	0.6974869126	0.7186678352
532	0.7129124013	0.6970680902	0.7186678352
533	0.7129124013	0.6968192089	0.7186678352
534	0.7129124013	0.6967403118	0.7186678352
535	0.7129124013	0.6964242934	0.7186678352
536	0.7138087164	0.6960178951	0.7195442594
537	0.7138087164	0.6960021214	0.7195442594
538	0.7138087164	0.6957130523	0.7195442594
539	0.7156727112	0.6955511886	0.7212971078
540	0.7148184833	0.6951755951	0.7204206836
541	0.7158285418	0.6949863376	0.7212971078
542	0.7158285418	0.6945813213	0.7212971078
543	0.7148184833	0.6944652256	0.7204206836
544	0.7140026483	0.6944557673	0.7195442594
545	0.7148195097	0.6942046356	0.7204206836
546	0.7148195097	0.6941231342	0.7204206836
547	0.7138064097	0.6937860417	0.7195442594
548	0.7155111632	0.6935296613	0.7212971078
549	0.7136028751	0.6932579276	0.7195442594
550	0.7144170501	0.6930401327	0.7204206836
551	0.7144170501	0.6930121542	0.7204206836
552	0.7144181534	0.6928755576	0.7204206836
553	0.7144181534	0.6927244759	0.7204206836
554	0.7146182567	0.6923196663	0.7204206836
555	0.7146182567	0.6922867446	0.7204206836
556	0.7146182567	0.6921714363	0.7204206836
557	0.7156334688	0.6920357773	0.7212971078
558	0.7155151206	0.6915587589	0.7212971078
559	0.7163659231	0.6913554165	0.722173532
560	0.7163659231	0.6913227812	0.722173532
561	0.7163659231	0.6912966261	0.722173532
562	0.7171803894	0.6911402538	0.7230499562
563	0.7171803894	0.6910005016	0.7230499562
564	0.7192083782	0.6906106705	0.7248028046
565	0.7184309183	0.6901710393	0.7239263804
566	0.7184309183	0.6896576796	0.7239263804
567	0.7205978123	0.6893327344	0.7256792287
568	0.7205978123	0.688969506	0.7256792287
569	0.7205978123	0.688961619	0.7256792287
570	0.7205978123	0.6887086824	0.7256792287
571	0.7205978123	0.688538545	0.7256792287
572	0.7197797536	0.6877345465	0.7248028046
573	0.7215612099	0.6871385016	0.7265556529
574	0.7214152056	0.6868387854	0.7265556529
575	0.7224179624	0.6867319308	0.7274320771
576	0.7224179624	0.6866732742	0.7274320771
577	0.7216363376	0.6865520072	0.7265556529
578	0.7232748276	0.6861607904	0.7283085013
579	0.724054532	0.6859025252	0.7291849255
580	0.724054532	0.6855494562	0.7291849255
581	0.724054532	0.6854416564	0.7291849255
582	0.724054532	0.6850219702	0.7291849255
583	0.7222323428	0.6844567458	0.7274320771
584	0.7230504313	0.6840910224	0.7283085013
585	0.724054532	0.6838463632	0.7291849255
586	0.7232748276	0.6837871347	0.7283085013
587	0.7242760692	0.6835675255	0.7291849255
588	0.7242760692	0.6834485586	0.7291849255
589	0.7234566966	0.6832401122	0.7283085013
590	0.7234566966	0.682882664	0.7283085013
591	0.7244558431	0.6825232744	0.7291849255
592	0.7244558431	0.6821238582	0.7291849255
593	0.7244558431	0.682107642	0.7291849255
594	0.7244558431	0.6820868394	0.7291849255
595	0.7244558431	0.6819443049	0.7291849255
596	0.7244558431	0.6818813301	0.7291849255
597	0.7244558431	0.6816712197	0.7291849255
598	0.7244558431	0.6815648241	0.7291849255
599	0.7244558431	0.6815415344	0.7291849255
600	0.7232362814	0.6811141425	0.7283085013
601	0.7232362814	0.6804859177	0.7283085013
602	0.7232362814	0.6802103087	0.7283085013
603	0.7232362814	0.679940021	0.7283085013
604	0.7232362814	0.6798081749	0.7283085013
605	0.7224556182	0.6796233675	0.7274320771
606	0.7232362814	0.6794217047	0.7283085013
607	0.7224556182	0.6792705724	0.7274320771
608	0.7224556182	0.6791941703	0.7274320771
609	0.7224556182	0.6790522948	0.7274320771
610	0.7242382633	0.6785247801	0.7291849255
611	0.7242382633	0.6783120877	0.7291849255
612	0.7252376317	0.6781604168	0.7300613497
613	0.7252376317	0.678070757	0.7300613497
614	0.7252376317	0.6779162518	0.7300613497
615	0.7242382633	0.6768700588	0.7291849255
