;precision;recall;f1-score;support
Died of Disease;0.7204301075268817;0.5403225806451613;0.6175115207373272;124.0
Died of Other Causes;0.45045045045045046;0.5208333333333334;0.4830917874396135;96.0
Living;0.655367231638418;0.7204968944099379;0.6863905325443787;161.0
accuracy;0.6115485564304461;0.6115485564304461;0.6115485564304461;0.6115485564304461
macro avg;0.6087492632052501;0.5938842694628108;0.5956646135737731;381.0
weighted avg;0.6249099760376953;0.6115485564304461;0.6127483357093869;381.0
