therapy_combo;Died of Disease;Died of Other Causes;Living
C0_H0_R0;28.373702422145332;33.56401384083045;38.062283737024224
C0_H0_R1;23.348017621145374;24.229074889867842;52.42290748898678
C0_H1_R0;29.876543209876544;36.79012345679013;33.33333333333333
C0_H1_R1;30.204778156996586;26.621160409556317;43.1740614334471
C1_H0_R0;57.77777777777777;4.444444444444445;37.77777777777778
C1_H0_R1;51.19047619047619;4.166666666666666;44.642857142857146
C1_H1_R0;60.71428571428571;7.142857142857142;32.142857142857146
C1_H1_R1;38.70967741935484;7.741935483870968;53.5483870967742
