;Model;Dokladnosc;F1-score;Precyzja przezywalnosci
0;CatBoost;0.6640419947506562;0.6595688561935991;0.6844919786096256
1;CatBoost kliniczny;0.6377952755905512;0.6344171727145416;0.65
2;Random Forest;0.6640419947506562;0.6623787553447225;0.7028571428571428
3;Random Forest kliniczny;0.6272965879265092;0.6286737339369772;0.6645962732919255
4;XG Boost;0.6561679790026247;0.6506337737531093;0.6842105263157895
5;XG Boost kliniczny;0.6692913385826772;0.666563339504138;0.7257142857142858
6;Losowy;0.3359580052493438;0.3359580052493438;0.3788819875776397
