;train_TotalF1;train_Accuracy;val_TotalF1;val_Accuracy
0;0.25773963256614524;0.4224364592462752;0.251048415995971;0.4225721784776903
1;0.3588760946511693;0.4469763365468887;0.33401631348204686;0.4304461942257218
2;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
3;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
4;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
5;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
6;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
7;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
8;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
9;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
10;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
11;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
12;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
13;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
14;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
15;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
16;0.24914020137751608;0.42068361086765993;0.251048415995971;0.4225721784776903
17;0.2529349715626786;0.4224364592462752;0.26782174776470763;0.4304461942257218
18;0.24914020137751608;0.42068361086765993;0.26231026677220903;0.42782152230971127
19;0.41293607434725316;0.5153374233128835;0.41301491132394036;0.5118110236220472
20;0.4488045638231625;0.5416301489921121;0.453716346253364;0.5433070866141733
21;0.44541114773444457;0.5390008764241893;0.4465063488685536;0.5380577427821522
22;0.4412818048437942;0.5354951796669588;0.4383919223211853;0.5301837270341208
23;0.4324614721366044;0.5284837861524978;0.4355245165465555;0.5275590551181102
24;0.43401249616189325;0.5311130587204207;0.4176090688411636;0.5144356955380578
25;0.4294305641742479;0.5276073619631901;0.4071905684835647;0.5065616797900262
26;0.42509784876784235;0.5241016652059597;0.40918597817587793;0.5091863517060368
27;0.41422310671974033;0.516213847502191;0.392838106785498;0.49606299212598426
28;0.4127979382568253;0.5144609991235758;0.38926712177541006;0.49606299212598426
29;0.408620707305906;0.5118317265556529;0.3816676165586921;0.49081364829396323
30;0.40256792641438766;0.5074496056091148;0.3717992792227164;0.48556430446194226
31;0.3913951828281715;0.49956178790534617;0.37197262106942514;0.48556430446194226
32;0.4293146143164286;0.5267309377738826;0.445106275381506;0.5380577427821522
33;0.4265116759830521;0.5241016652059597;0.4352455943007124;0.5301837270341208
34;0.4485949959151495;0.5416301489921121;0.4575567442478842;0.5459317585301837
35;0.44579245454790867;0.5390008764241893;0.45973030458038117;0.5485564304461942
36;0.4440349929842163;0.5381244522348817;0.4566491688538933;0.5459317585301837
37;0.44106816908336904;0.5354951796669588;0.4535433070866142;0.5433070866141733
38;0.43689165772840555;0.5319894829097284;0.44725556846377806;0.5380577427821522
39;0.43671094841633396;0.5319894829097284;0.4493953910560925;0.5406824146981627
40;0.43256655846175995;0.5284837861524978;0.44620211902230117;0.5380577427821522
41;0.42904733689021923;0.5258545135845749;0.4352455943007124;0.5301837270341208
42;0.4258013789900913;0.523225241016652;0.4285264384004145;0.5249343832020997
43;0.42478143798565576;0.5223488168273445;0.4251215775272519;0.5223097112860893
44;0.42478143798565576;0.5223488168273445;0.4251215775272519;0.5223097112860893
45;0.41978003227334276;0.5188431200701139;0.4216857555266753;0.5196850393700787
46;0.4187338403690216;0.5179666958808063;0.43856101641240974;0.5328083989501312
47;0.41564946419574317;0.516213847502191;0.4373417273960918;0.5328083989501312
48;0.41574479263251257;0.516213847502191;0.4373417273960918;0.5328083989501312
49;0.4130668588428012;0.5153374233128835;0.4373417273960918;0.5328083989501312
50;0.4114986423703574;0.5127081507449606;0.4131923268627566;0.5144356955380578
51;0.4434641197465894;0.5381244522348817;0.44826777110241683;0.5380577427821522
52;0.43931526607608085;0.5346187554776511;0.44826777110241683;0.5380577427821522
53;0.4394168158764827;0.5346187554776511;0.44194885475381157;0.5328083989501312
54;0.43737332956072966;0.5328659070990359;0.4355245165465555;0.5275590551181102
55;0.4352152756666938;0.5311130587204207;0.4355245165465555;0.5275590551181102
56;0.4354185663350261;0.5311130587204207;0.4376267781342147;0.5301837270341208
57;0.43433344861552126;0.530236634531113;0.4343626227545895;0.5275590551181102
58;0.4324614721366044;0.5284837861524978;0.4277493804487915;0.5223097112860893
59;0.43146891001394366;0.5276073619631901;0.42101930741345717;0.5170603674540682
60;0.4289609751241305;0.5258545135845749;0.4179304645508344;0.5144356955380578
61;0.4290607610444281;0.5258545135845749;0.41099711020970864;0.5091863517060368
62;0.42573577281891983;0.523225241016652;0.41099711020970864;0.5091863517060368
63;0.4265116759830521;0.5241016652059597;0.41301491132394036;0.5118110236220472
64;0.42398637376042675;0.5223488168273445;0.414479707784385;0.5118110236220472
65;0.42500925230128034;0.523225241016652;0.41651101427313614;0.5144356955380578
66;0.4256823229540759;0.5241016652059597;0.4254701661962719;0.5223097112860893
67;0.4223196353964074;0.5214723926380368;0.4185477645465095;0.5170603674540682
68;0.4212837604267337;0.5205959684487291;0.4114952498407578;0.5118110236220472
69;0.4258742733178189;0.5241016652059597;0.40948600484861053;0.5091863517060368
70;0.4269906532242623;0.5249780893952674;0.40918597817587793;0.5091863517060368
71;0.4281038505289777;0.5258545135845749;0.40918597817587793;0.5091863517060368
72;0.42708953808589234;0.5249780893952674;0.40918597817587793;0.5091863517060368
73;0.44521173035727274;0.5398773006134969;0.4380460470584782;0.5301837270341208
74;0.44405248843311756;0.5390008764241893;0.4383919223211853;0.5301837270341208
75;0.44881963114700396;0.5425065731814198;0.44687466114363344;0.5380577427821522
76;0.44881963114700396;0.5425065731814198;0.4458189150386716;0.5380577427821522
77;0.44881963114700396;0.5425065731814198;0.4458189150386716;0.5380577427821522
78;0.44881963114700396;0.5425065731814198;0.4458189150386716;0.5380577427821522
79;0.44881963114700396;0.5425065731814198;0.4458189150386716;0.5380577427821522
80;0.4513844773359669;0.5451358457493427;0.4458189150386716;0.5380577427821522
81;0.47202315798439387;0.5635407537248028;0.46877619318564206;0.5564304461942258
82;0.4729959776557172;0.5644171779141104;0.46877619318564206;0.5564304461942258
83;0.4722841708086646;0.5635407537248028;0.46801558619762196;0.5564304461942258
84;0.4713122472702262;0.5626643295354952;0.47095312040461185;0.5590551181102362
85;0.4723782167464338;0.5626643295354952;0.47706503612620293;0.5643044619422573
86;0.47142030651166617;0.5617879053461875;0.47706503612620293;0.5643044619422573
87;0.47142030651166617;0.5617879053461875;0.47706503612620293;0.5643044619422573
88;0.4724782554521572;0.5626643295354952;0.4796404312121929;0.5669291338582677
89;0.4715199212806113;0.5617879053461875;0.4796404312121929;0.5669291338582677
90;0.4715199212806113;0.5617879053461875;0.4796404312121929;0.5669291338582677
91;0.4715199212806113;0.5617879053461875;0.4796404312121929;0.5669291338582677
92;0.47308971418888346;0.5635407537248028;0.4792572570219767;0.5669291338582677
93;0.47308971418888346;0.5635407537248028;0.4792572570219767;0.5669291338582677
94;0.4736555775816625;0.5644171779141104;0.481734432037881;0.5695538057742782
95;0.47390335178687004;0.5644171779141104;0.48210883741102867;0.5695538057742782
96;0.47390335178687004;0.5644171779141104;0.48210883741102867;0.5695538057742782
97;0.47390335178687004;0.5644171779141104;0.48249565819197965;0.5695538057742782
98;0.47390335178687004;0.5644171779141104;0.48249565819197965;0.5695538057742782
99;0.47425026317900937;0.5644171779141104;0.48249565819197965;0.5695538057742782
100;0.47520561206986567;0.5652936021034181;0.48249565819197965;0.5695538057742782
101;0.4747204186976617;0.5652936021034181;0.48210883741102867;0.5695538057742782
102;0.4747204186976617;0.5652936021034181;0.48210883741102867;0.5695538057742782
103;0.4747204186976617;0.5652936021034181;0.48210883741102867;0.5695538057742782
104;0.4747204186976617;0.5652936021034181;0.48210883741102867;0.5695538057742782
105;0.47390335178687004;0.5644171779141104;0.48210883741102867;0.5695538057742782
106;0.4748612778643655;0.5652936021034181;0.48210883741102867;0.5695538057742782
107;0.4729432800547185;0.5635407537248028;0.48210883741102867;0.5695538057742782
108;0.4719810500731015;0.5626643295354952;0.48210883741102867;0.5695538057742782
109;0.4704602576740902;0.5609114811568799;0.4792572570219767;0.5669291338582677
110;0.47385192285541133;0.5635407537248028;0.4820069821369416;0.5695538057742782
111;0.47385192285541133;0.5635407537248028;0.4820069821369416;0.5695538057742782
112;0.47385192285541133;0.5635407537248028;0.4820069821369416;0.5695538057742782
113;0.47385192285541133;0.5635407537248028;0.4820069821369416;0.5695538057742782
