;cecha;wagi
146;foxo1_mut;0.0
116;fbxw7_mut;0.0
125;prkce_mut;0.0
120;rpgr_mut;0.0
126;gh1_mut;0.0
123;prkcz_mut;0.0
139;taf4b_mut;0.0
136;ndfip1_mut;0.0
137;prps2_mut;0.0
132;akt2_mut;0.0
133;prkg1_mut;0.0
135;mtap_mut;0.0
134;frmd3_mut;0.0
131;cdkn2a_mut;0.0
127;gpr32_mut;0.0
129;chek2_mut;0.0
130;acvrl1_mut;0.0
122;clk3_mut;0.0
149;nr3c1_mut;0.0
156;large1_mut;0.0
157;ldlrap1_mut;0.0
155;prr16_mut;0.0
152;nf2_mut;0.0
153;flt3_mut;0.0
154;braf_mut;0.0
147;ccnd3_mut;0.0
151;nt5e_mut;0.0
148;clrn2_mut;0.0
140;dtwd2_mut;0.0
142;tbl1xr1_mut;0.0
141;magea8_mut;0.0
180;ep300_mut;0.0
179;fanca_mut;0.0
