;missing in:;chi2:;p_value;category
5020;nf2_mut;235.92213369180098;2.1652217390876646e-39;dcaf4l2_mut
2567;nek1_mut;453.42930702537365;4.497776730573766e-39;dnah5_mut
2481;npnt_mut;252.67142713136153;5.1763858872769e-39;pbrm1_mut
4837;ppp2r2a_mut;291.4356758643907;1.2251737757690352e-38;apc_mut
6441;braf_mut;379.5294240985614;1.7038361680797156e-38;lama2_mut
3602;flt3_mut;498.3925584666057;1.8874849039493016e-38;ahnak_mut
6828;nr3c1_mut;210.7077614210461;1.9969517510982016e-38;chek2_mut
5701;ctnna1_mut;344.8607890566353;2.6992439862035516e-38;col22a1_mut
3603;flt3_mut;498.38591818844156;3.4411579213645417e-38;dnah11_mut
3066;stk11_mut;269.7005484664433;5.027532855653792e-38;foxo3_mut
4219;large1_mut;355.02124225566985;5.63412260634218e-38;col12a1_mut
6123;foxo1_mut;568.2842074948337;3.047261688081497e-37;syne1_mut
6139;foxo1_mut;379.55572911478146;3.2538459533578775e-37;utrn_mut
4077;prkacg_mut;333.98418867199626;9.580052538148817e-37;stab2_mut
6385;nt5e_mut;189.53392092234049;1.0206360206722968e-36;prkg1_mut
2565;nek1_mut;453.49166096727356;1.364767571497548e-36;ush2a_mut
5706;ctnna1_mut;344.84387161940424;1.4648200635958577e-36;ncor1_mut
4825;ppp2r2a_mut;291.49268690404585;3.3347746368650955e-36;usp9x_mut
6234;foxo1_mut;189.54256480971685;5.131491266882539e-36;cdkn2a_mut
6949;tbl1xr1_mut;237.2064634699812;5.5714635502757815e-36;erbb4_mut
3412;ptpn22_mut;188.67602733503588;7.789678253402933e-36;cdkn2a_mut
6717;nr3c1_mut;633.4417933339628;9.009601848510998e-36;ahnak2_mut
4824;ppp2r2a_mut;291.492686904046;1.9999792958926418e-35;ptprd_mut
5299;clrn2_mut;235.95839094705482;2.984568203444412e-35;ncoa3_mut
6140;foxo1_mut;379.5519587499655;4.674674024497602e-35;tbx3_mut
5263;clrn2_mut;315.96669537754804;5.304921942771935e-35;nf1_mut
6230;foxo1_mut;187.82707872417853;5.536850261012549e-35;gpr32_mut
2220;er_status_measured_by_ihc;187.80024186169237;5.608475167354487e-35;acvrl1_mut
2706;sik1_mut;552.0038854389356;6.059874840152967e-35;syne1_mut
5224;clrn2_mut;486.6945637927149;6.31211872457244e-35;pik3ca_mut
6871;tbl1xr1_mut;474.95393811533063;6.392671242618619e-35;ahnak_mut
4076;prkacg_mut;333.9908135706823;1.0621834848026457e-34;ncor1_mut
3304;ptpn22_mut;473.36818825194626;1.1009106940581557e-34;ahnak_mut
4963;nf2_mut;315.9809290714782;1.1811920244009884e-34;myh9_mut
4121;prkacg_mut;222.41871722468738;1.4255386351970518e-34;jak1_mut
3780;taf4b_mut;315.29827326167657;1.5531012612811947e-34;myh9_mut
6284;nt5e_mut;379.61662916193166;1.798040672327274e-34;pde4dip_mut
4402;tumor_other_histologic_subtype;252.35083043157474;2.6943816095465713e-34;ctnna3_mut
4548;oncotree_code;252.35083043157474;2.6943816095465713e-34;ctnna3_mut
4694;cancer_type_detailed;252.35083043157474;2.6943816095465713e-34;ctnna3_mut
6580;ccnd3_mut;421.9556619700041;3.9218288313064556e-34;dnah5_mut
6729;nr3c1_mut;421.95566197000414;3.921828831306568e-34;dnah5_mut
6299;nt5e_mut;189.84307717574725;4.045580349283943e-34;akt1_mut
