;train_Accuracy;train_TotalF1;train_MultiClass;val_Accuracy;val_TotalF1;val_MultiClass
0;0.42068361086765993;0.24914020137751608;1.097383512445175;0.4225721784776903;0.251048415995971;1.0973650960281192
1;0.44960560911481157;0.312089926239397;1.0941793576011318;0.44881889763779526;0.31145368333097706;1.0952492734305757
2;0.5766871165644172;0.49156216391629287;1.0871035068008534;0.5354330708661418;0.4542640735766909;1.0885910606358584
3;0.5652936021034181;0.47836566143856035;1.086060728883484;0.5249343832020997;0.44107025806727135;1.0875377517288574
4;0.574934268185802;0.4896730152376878;1.0811941552975493;0.5380577427821522;0.4565970598912199;1.082194190584674
5;0.5793163891323401;0.49156853617562984;1.0751922163649024;0.5590551181102362;0.47529751341911936;1.076431357490928
6;0.5705521472392638;0.4827516009221444;1.0737618574055927;0.5590551181102362;0.47383213869566754;1.0750833901536612
7;0.5670464504820333;0.47897621240843136;1.0722987048173123;0.5590551181102362;0.4738368815009235;1.0737710313311815
8;0.5687992988606485;0.48121720032415916;1.0704935749983067;0.5590551181102362;0.4746706216288666;1.0721187883919312
9;0.5766871165644172;0.48731295843668665;1.0662546448435857;0.5511811023622047;0.4648630344906801;1.0674020590667928
10;0.5687992988606485;0.47904735876803384;1.065544578203959;0.5485564304461942;0.4605326945944662;1.0666934166877928
11;0.5644171779141104;0.47375019053905365;1.0617032937474886;0.5406824146981627;0.45255679101739626;1.0622890859654974
12;0.5705521472392638;0.4816975961189682;1.0532634870615727;0.5485564304461942;0.46317510728835376;1.0535142093330119
13;0.567922874671341;0.47857751557010825;1.0526328320012264;0.5485564304461942;0.4634427984980911;1.052881521525045
14;0.567922874671341;0.4781375754895668;1.0520526977945444;0.5511811023622047;0.4655870772426183;1.052320824805387
15;0.5644171779141104;0.47389705978570185;1.0487784717398034;0.5511811023622047;0.4655870772426183;1.0484704475265614
16;0.5670464504820333;0.476465722774967;1.0467132382164877;0.5485564304461942;0.46142957776902;1.0459958856617566
17;0.5600350569675723;0.4688834927430144;1.0462379901065333;0.5459317585301837;0.4578131585199912;1.0455241026661992
18;0.5565293602103418;0.46518393511668005;1.0457898998415132;0.5459317585301837;0.45761270693354;1.0450793964700478
19;0.5495179666958808;0.4570940391117279;1.0425643990523885;0.5433070866141733;0.4532310499814133;1.0413790648776833
20;0.5433829973707275;0.4502394639786009;1.0421630776576274;0.5433070866141733;0.4538204577574656;1.0409816676789212
21;0.5766871165644172;0.4862292114217348;1.0366933041131012;0.5511811023622047;0.46531258689843485;1.03593499775156
22;0.574934268185802;0.48466007240960396;1.0363360865179645;0.5538057742782152;0.46679928771207635;1.0355826579380991
23;0.5687992988606485;0.4782054399820367;1.035991780416445;0.5511811023622047;0.4625334454552404;1.0351728733536476
24;0.5793163891323401;0.48932706130147213;1.0301892545044897;0.5564304461942258;0.46958304293004616;1.0298875331794284
25;0.5793163891323401;0.4890262562830102;1.0292660936663622;0.5643044619422573;0.4773729101138273;1.028825411827915
26;0.5758106923751095;0.48556890601822794;1.028964828095398;0.5590551181102362;0.4719375831445727;1.028736615184957
27;0.5740578439964943;0.48387524655100767;1.0286942713352412;0.5590551181102362;0.47218133713790367;1.0284692554620793
28;0.5758106923751095;0.4855137182462565;1.027045481850993;0.5616797900262467;0.47296843771822106;1.0267708220790606
29;0.5723049956178791;0.4818973328294712;1.0268041004937702;0.5590551181102362;0.47067084437886714;1.0265321466682271
30;0.5705521472392638;0.47980596704857714;1.0265514277234793;0.5616797900262467;0.4730497205711426;1.0263177163628
31;0.5740578439964943;0.4835414487139156;1.0249501273896486;0.5643044619422573;0.47557230718717275;1.024940384682836
32;0.5845749342681859;0.49474031536687224;1.0201902973030597;0.5590551181102362;0.4720681544222978;1.020620638021666
33;0.5845749342681859;0.49438561495149114;1.0199843665281965;0.5590551181102362;0.47225210061590883;1.020426553815619
34;0.5872042068361086;0.4967210707571014;1.0160063325829891;0.5643044619422573;0.47667082295016505;1.0160124033017797
35;0.5845749342681859;0.4941062414374838;1.0158327155687814;0.5643044619422573;0.4768526140432879;1.0158431150230556
36;0.588957055214724;0.49871275074931903;1.0114762905997683;0.5669291338582677;0.4795213899544608;1.0123079619331619
37;0.588957055214724;0.49863884896332156;1.009897690976673;0.5669291338582677;0.4795213899544608;1.0101582392043997
38;0.5915863277826467;0.501014757121938;1.006259828880273;0.5669291338582677;0.47883918265829384;1.006801598355665
39;0.5915863277826467;0.5009493416650609;1.0044241763790784;0.5669291338582677;0.4786960390634931;1.0047970265673478
40;0.5915863277826467;0.5009898146767072;1.0028112519201695;0.5695538057742782;0.4814777426325983;1.003390538876537
41;0.588957055214724;0.4988217674043675;0.9983971038853245;0.5721784776902887;0.484748659472355;0.9997956289885064
42;0.5836985100788782;0.49399074736768755;0.9946320375361178;0.5643044619422573;0.4775650372763234;0.9962223135987313
43;0.5915863277826467;0.501923268685277;0.9910535802560912;0.5669291338582677;0.48050388011559025;0.9932121160976262
44;0.595968448729185;0.5058733110779811;0.9892984557269737;0.5695538057742782;0.4829420970266041;0.9913028187760303
45;0.5950920245398773;0.5049524484790747;0.988423959854334;0.5695538057742782;0.48199052966231015;0.9903489590494958
46;0.5933391761612621;0.503231771362937;0.9882682882751516;0.5695538057742782;0.48199052966231015;0.9902238795246842
47;0.5933391761612621;0.5032940697157426;0.9879156652430597;0.5695538057742782;0.48214174886825034;0.9899114942265776
48;0.5950920245398773;0.5048585893805537;0.987406766408919;0.5695538057742782;0.4826258273881119;0.9896097078425776
49;0.5950920245398773;0.5048585893805537;0.9873277723335635;0.5695538057742782;0.48214174886825034;0.9895340463584977
50;0.5977212971078002;0.5072352014165755;0.9862603153471664;0.5748031496062992;0.4873423529857298;0.9882590722198071
51;0.5968448729184925;0.5064403387535116;0.9850888690960711;0.5748031496062992;0.4873423529857298;0.986706114371039
52;0.5985977212971078;0.508254655257866;0.9816809600925204;0.5695538057742782;0.48247851646361684;0.9841790067226729
