,precision,recall,f1-score,support
Died of Disease,0.32735120643431687,0.32735120643431687,0.32735120643431687,373.0
Died of Other Causes,0.25212847222222246,0.25212847222222246,0.25212847222222246,288.0
Living,0.42127083333333376,0.42127083333333376,0.42127083333333376,480.0
accuracy,0.34787467134092814,0.34787467134092814,0.34787467134092814,0.34787467134092814
macro avg,0.3335835039966236,0.3335835039966236,0.3335835039966236,1141.0
weighted avg,0.34787467134092814,0.34787467134092814,0.34787467134092814,1141.0
