;precision;recall;f1-score;support
Died of Disease;0.6869565217391305;0.6370967741935484;0.6610878661087866;124.0
Died of Other Causes;0.5632183908045977;0.5104166666666666;0.5355191256830601;96.0
Living;0.7094972067039106;0.7888198757763976;0.7470588235294118;161.0
accuracy;0.6692913385826772;0.6692913385826772;0.6692913385826772;0.6692913385826772
macro avg;0.653224039749213;0.6454444388788708;0.6478886051070861;381.0
weighted avg;0.6653034763575412;0.6692913385826772;0.6657774332055082;381.0
