;precision;recall;f1-score;support
Died of Disease;0.3709677419354839;0.3709677419354839;0.3709677419354839;124.0
Died of Other Causes;0.21875;0.21875;0.21875;96.0
Living;0.37888198757763975;0.37888198757763975;0.37888198757763975;161.0
accuracy;0.3359580052493438;0.3359580052493438;0.3359580052493438;0.3359580052493438
macro avg;0.32286657650437456;0.32286657650437456;0.32286657650437456;381.0
weighted avg;0.3359580052493438;0.3359580052493438;0.3359580052493438;381.0
